Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes_log
FALSE,accepted,1,FALSE,TRUE,40,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,20,0,FALSE,0.84509804
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,1.176091259
FALSE,accepted,1,TRUE,TRUE,24,0,FALSE,1.146128036
FALSE,unreviewed,0,FALSE,FALSE,45,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,0.698970004
FALSE,accepted,1,FALSE,FALSE,45,0,FALSE,1.857332496
FALSE,unreviewed,0,TRUE,FALSE,43,0,FALSE,0.477121255
FALSE,accepted,1,FALSE,TRUE,11,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,117,1,FALSE,1.255272505
FALSE,unreviewed,0,FALSE,FALSE,50,0,FALSE,0
FALSE,unreviewed,1,FALSE,FALSE,49,0,FALSE,0.903089987
FALSE,unreviewed,1,FALSE,FALSE,126,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,90,0,FALSE,2.045322979
FALSE,accepted,2,TRUE,FALSE,45,0,FALSE,1.447158031
FALSE,accepted,1,FALSE,FALSE,110,0,FALSE,1.041392685
FALSE,accepted,1,FALSE,FALSE,21,0,FALSE,1.146128036
FALSE,accepted,0,TRUE,TRUE,94,0,FALSE,1
FALSE,accepted,3,FALSE,FALSE,43,0,FALSE,0.602059991
FALSE,accepted,1,FALSE,FALSE,96,0,FALSE,0.602059991
FALSE,unreviewed,0,FALSE,FALSE,1,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,199,0,FALSE,0.903089987
FALSE,accepted,1,FALSE,FALSE,376,0,FALSE,1.361727836
FALSE,unreviewed,1,FALSE,FALSE,115,0,FALSE,1.230448921
FALSE,accepted,1,FALSE,FALSE,47,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,34,1,FALSE,0
FALSE,accepted,0,TRUE,TRUE,16,3,FALSE,2.36361198
FALSE,accepted,1,TRUE,FALSE,52,0,FALSE,1.591064607
FALSE,accepted,0,TRUE,TRUE,128,4,FALSE,1.113943352
FALSE,unreviewed,0,FALSE,FALSE,39,0,FALSE,0.477121255
FALSE,accepted,0,TRUE,FALSE,48,0,FALSE,0.602059991
FALSE,accepted,0,TRUE,TRUE,63,2,FALSE,1.079181246
FALSE,unreviewed,0,TRUE,TRUE,241,0,FALSE,0.698970004
FALSE,unreviewed,0,FALSE,FALSE,145,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,163,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,228,0,FALSE,0.301029996
FALSE,accepted,1,TRUE,TRUE,31,0,FALSE,1.255272505
